origine,destination,couleur
Steinkjer,Trondheim,vert
Storlien Molde,Tynset Dombås,rouge
Storlien Molde,Åndalsnes,vert
Strba Strba,Slovakia Slovakia,violet
Strimon,Aegean Sea,rouge
Strimon,Thessaloniki Edessa,rouge
Strizivojna Vinkovci,Banja Luka,violet
Strizivojna Vinkovci,Dobrljin,violet
Subotica,Novi Sad,rouge
Subotica,Novi Sad,violet
Suceava,Iași,violet
Suceava,Târgu Neamț,rouge
Sveg,Borlänge,vert
Sveg,Falun,vert
Sveg,Sweden Sweden Norway,vert
Sveg,Torsby,vert
Svilengrad,1 2 3,rouge
Svilengrad,1 2 3,violet
Svilengrad,Kavala,rouge
Sweden,Berga,vert
Sweden,Markaryd,vert
Sweden Sweden Norway,Gjøvik Elverum Mora Myrdal,rouge
Switzerland,Besancon Franche-Comté,rouge
Switzerland,Besancon Franche-Comté,violet
Switzerland,Ukraine,vert
Switzerland,Ukraine,violet
Syros Syros,Paros,rouge
Söderhamn,Falun,vert
Söke,Kalymnos Kalymnos,rouge
Söke,Leros,rouge
Tabanovce,Kocani,rouge
Tabanovce,Kosovo,rouge
Tabanovce,Skopje,rouge
Tabanovce,Veles,vert
Tallinn,Tapa,rouge
Tallinn,Tapa,vert
Tandarei,Ciulniţa,violet
Tandarei,Călăraşi,rouge
Tandarei,Fetești,rouge
Tandarei,Medgidia,violet
Taormina,Catania,rouge
Tapa,Estonia,rouge
Tapa,Estonia,vert
Tarsus,Mersin,rouge
Tatvan,Batman,vert
Tecuci,Galați,rouge
Tecuci,Moldova,violet
Teiuș,Alba Iulia Alba Iulia,vert
Terespol,Chełm,rouge
Terespol,Lublin,rouge
Terespol,Ukraine,violet
Termoli,Sulmona Avezzano,violet
Thessaloniki Edessa,Volos,rouge
Thessaloniki Edessa,Véria,rouge
Timișoara Timișoara,Buziaș,violet
Timișoara Timișoara,Stara Pazova,violet
Tire,11h50min,rouge
Tire,Söke,rouge
Titlis,Realp,rouge
Toka,Debrecen,violet
Trapani,Malta,vert
Trapani,Marsala Alcamo,vert
Trelleborg,9h 6h,rouge
Trelleborg,9h 6h,vert
Trelleborg,Sassnitz,rouge
Trelleborg,Sassnitz,vert
Trikala,Paleofársalos,rouge
Trollhättan,Borås,rouge
Trollhättan,Borås,vert
Trollhättan,Skagen Falk,violet
Trollhättan Uddevalla Skövde,Borås,rouge
Trondheim,Røros,rouge
Trondheim,Røros,vert
Trondheim,Storlien Molde,rouge
Trondheim,Storlien Molde,vert
Trondheim,Sveg,vert
Trondheim,Sweden Sweden Norway,vert
Tukums,Mažeikiai,rouge
Tukums,Ventspils,vert
Tukums,Šiauliai,rouge
Tulcea,Braila,violet
Tulcea,Ciulniţa,violet
Tulcea,Constața,violet
Tulcea,Medgidia,vert
Tulcea,Orbe,vert
Tulcea,Orbe,violet
Turba Türi,Estonia,vert
Turba Türi,Viljandi,rouge
Turkey,Afyon,rouge
