id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;hub_id;country;time_zone
;Decize;Decize;;;46.8284259;3.4616097;;;FR;Europe/Paris
;Delle;Delle;;;47.5075682;6.9977521;;;FR;Europe/Paris
;Die;Die;;;44.7533712;5.3689136;;;FR;Europe/Paris
;Diemeringen;Diemeringen;;;48.9395197;7.1895939;;;FR;Europe/Paris
;Dieppe;Dieppe;;;49.9246182;1.0791444;;;FR;Europe/Paris
;Digoin;Digoin;;;46.4810422;3.9786291;;;FR;Europe/Paris
;Dijon;Dijon;;;47.3215806;5.0414701;;;FR;Europe/Paris
;Dinan;Dinan;;;48.4539775;-2.0476870;;;FR;Europe/Paris
;Dives - Cabourg;Dives - Cabourg;;;49.2865082;-0.1075936;;;FR;Europe/Paris
;Dol-de-Bretagne;Dol-de-Bretagne;;;48.5498295;-1.7542570;;;FR;Europe/Paris
;Dole;Dole;;;47.0921047;5.4925463;;;FR;Europe/Paris
;Douai;Douai;;;50.3675677;3.0804641;;;FR;Europe/Paris
;Drap - Cantaron;Drap - Cantaron;;;43.7599595;7.3168793;;;FR;Europe/Paris
;Dreux;Dreux;;;48.7358807;1.3684254;;;FR;Europe/Paris
;Dunkerque;Dunkerque;;;51.0347708;2.3772525;;;FR;Europe/Paris
;Ecole-Valentin;Ecole-Valentin;;;47.2720000;5.9820600;;;FR;Europe/Paris
;Elbeuf - Saint-Aubin;Elbeuf - Saint-Aubin;;;49.3026780;1.0101801;;;FR;Europe/Paris
;Ettendorf  Rue du Pont;Ettendorf Rue du Pont;;;48.8128970;7.5821490;;;FR;Europe/Paris
;Eymoutiers Vassivière;Eymoutiers Vassiviere;;;45.7398075;1.7411821;;;FR;Europe/Paris
;Fécamp;Fecamp;;;49.7577729;0.3748910;;;FR;Europe/Paris
;Fénétrange Gendarmerie;Fenetrange Gendarmerie;;;48.8441010;7.0207433;;;FR;Europe/Paris
;Faubourg d'Orléans;Faubourg d'Orleans;;;47.3670024;1.7406513;;;FR;Europe/Paris
;Feurs;Feurs;;;45.7440738;4.2215124;;;FR;Europe/Paris
;Figeac;Figeac;;;44.6092335;2.0324321;;;FR;Europe/Paris
;Firminy;Firminy;;;45.3869665;4.2858597;;;FR;Europe/Paris
;Fismes;Fismes;;;49.3072444;3.6802766;;;FR;Europe/Paris
;Foix;Foix;;;42.9638998;1.6053807;;;FR;Europe/Paris
;Font-Romeu-Odeillo-Via;Font-Romeu-Odeillo-Via;;;42.4965705;2.0416766;;;FR;Europe/Paris
;Forbach;Forbach;;;49.1862822;6.8958562;;;FR;Europe/Paris
;Franois;Franois;;;47.2342087;5.9243606;;;FR;Europe/Paris
;Frasne;Frasne;;;46.8570466;6.1617717;;;FR;Europe/Paris
;Frohmuhl Lavoir;Frohmuhl Lavoir;;;48.9077752;7.2810614;;;FR;Europe/Paris
;Génolhac;Genolhac;;;44.3511996;3.9499106;;;FR;Europe/Paris
;Gannat;Gannat;;;46.0996068;3.1995251;;;FR;Europe/Paris
;Gap;Gap;;;44.5612032;6.0820639;;;FR;Europe/Paris
;Gare de Champagnole Paul-Emile Victor;de Champagnole Paul-Emile Victor;;;46.7425433;5.9194569;;;FR;Europe/Paris
;Gare de Damblain Eglise;de Damblain Eglise;;;48.0977659;5.6524541;;;FR;Europe/Paris
;Gare de Etang-sur-Arroux;de Etang-sur-Arroux;;;46.8671471;4.1852671;;;FR;Europe/Paris
;Gare de Etaples - Le Touquet;de Etaples - Le Touquet;;;50.5168803;1.6423717;;;FR;Europe/Paris
;Gare de Evreux Normandie;de Evreux Normandie;;;49.0068420;1.0890917;;;FR;Europe/Paris
;Gare de Griesbach-le-Bastberg Eglise;de Griesbach-le-Bastberg Eglise;;;48.8151345;7.4333534;;;FR;Europe/Paris
;Gare de Hirson Ecoles;de Hirson Ecoles;;;49.9290293;4.0861352;;;FR;Europe/Paris
;Gare de K�dange (Eglise);de Kedange (Eglise);;;49.3084830;6.3382369;;;FR;Europe/Paris
;Gare de Lichtenberg Eglise;de Lichtenberg Eglise;;;48.9217256;7.4815423;;;FR;Europe/Paris
;Gare de Poule-les-Echarmeaux Mairie;de Poule-les-Echarmeaux Mairie;;;46.1480920;4.4565515;;;FR;Europe/Paris
;Gare de Saint-Jean-de-Bassel Eglise;de Saint-Jean-de-Bassel Eglise;;;48.8038025;6.9912677;;;FR;Europe/Paris
;Geneve-Aeroport;Geneve-Aeroport;;;46.2467040;6.0937472;;;FR;Europe/Paris
;Gièvres;Gievres;;;47.2756700;1.6679000;;;FR;Europe/Paris
;Gironde;Gironde;;;44.8837460;-0.6051264;;;FR;Europe/Paris
;Givet;Givet;;;50.1362582;4.8248698;;;FR;Europe/Paris
;Givors Ville;Givors Ville;;;45.5851435;4.7657018;;;FR;Europe/Paris
;Grand-Combe la Pise;Grand-Combe la Pise;;;44.2099530;4.0329499;;;FR;Europe/Paris
;Granville;Granville;;;48.8376296;-1.5959177;;;FR;Europe/Paris
;Grasse;Grasse;;;43.6589011;6.9239103;;;FR;Europe/Paris
;Grenoble;Grenoble;;;45.1875602;5.7357819;;;FR;Europe/Paris
;Grenoble Europole;Grenoble Europole;;;45.1913071;5.7141017;;;FR;Europe/Paris
;Grenoble Universités - Gières;Grenoble Universites - Gieres;;;45.1850579;5.7849348;;;FR;Europe/Paris
;Guéret;Gueret;;;46.1689521;1.8715763;;;FR;Europe/Paris
;Guingamp;Guingamp;;;48.5618483;-3.1502007;;;FR;Europe/Paris
;Hagondange;Hagondange;;;49.2540313;6.1678213;;;FR;Europe/Paris
;Haguenau;Haguenau;;;48.8172236;7.7885978;;;FR;Europe/Paris
;Hazebrouck;Hazebrouck;;;50.7226113;2.5360331;;;FR;Europe/Paris
;Hendaye;Hendaye;;;43.3641518;-1.7616499;;;FR;Europe/Paris
;Herbitzheim Mairie;Herbitzheim Mairie;;;49.0166075;7.0826244;;;FR;Europe/Paris
;Herbitzheim Rue de Hambach;Herbitzheim Rue de Hambach;;;49.0230772;7.0753116;;;FR;Europe/Paris
;Herrlisheim;Herrlisheim;;;48.7288855;7.9061317;;;FR;Europe/Paris
;Hirson;Hirson;;;49.9203419;4.0837186;;;FR;Europe/Paris
;Hombourg Chapelle;Hombourg Chapelle;;;47.7418015;7.5050817;;;FR;Europe/Paris
;Hyères;Hyeres;;;43.1202573;6.1301614;;;FR;Europe/Paris
;Igney Mairie;Igney Mairie;;;48.2731427;6.3963079;;;FR;Europe/Paris
;Ingwiller;Ingwiller;;;48.8718112;7.4798581;;;FR;Europe/Paris
;Issoire;Issoire;;;45.5432962;3.2501874;;;FR;Europe/Paris
;Issoire Lycée Deville;Issoire Lycee Deville;;;45.5399347;3.2579836;;;FR;Europe/Paris
;Is-sur-Tille;Is-sur-Tille;;;47.5219136;5.1123622;;;FR;Europe/Paris
;Jeumont;Jeumont;;;50.2971012;4.0996569;;;FR;Europe/Paris
;Joinville;Joinville;;;48.4433253;5.1377537;;;FR;Europe/Paris
;Jougne;Jougne;;;46.7630230;6.3883634;;;FR;Europe/Paris
;Juvancourt;Juvancourt;;;48.1147600;4.7981100;;;FR;Europe/Paris
;Kehl;Kehl;;;48.9119025;6.9010556;;;FR;Europe/Paris
;Keskastel Gare;Keskastel;;;48.9694119;7.0434540;;;FR;Europe/Paris
;Krimmeri Meinau;Krimmeri Meinau;;;48.5635816;7.7526323;;;FR;Europe/Paris
;Kruth;Kruth;;;47.9305570;6.9645918;;;FR;Europe/Paris
;La Brohinière;La Brohiniere;;;48.2134663;-2.1103354;;;FR;Europe/Paris
;La Charité-sur-Loire;La Charite-sur-Loire;;;47.1771359;3.0188106;;;FR;Europe/Paris
;La Ferté-Bernard;La Ferte-Bernard;;;48.1860576;0.6554511;;;FR;Europe/Paris
;La Ferté-sur-Chiers;La Ferte-sur-Chiers;;;49.5745200;5.2418000;;;FR;Europe/Paris
;La Rochelle;La Rochelle;;;46.1597320;-1.1515951;;;FR;Europe/Paris
;La Rochelle Porte Dauphine;La Rochelle Porte Dauphine;;;46.1675560;-1.1518694;;;FR;Europe/Paris
;La Roche-sur-Foron;La Roche-sur-Foron;;;46.0672189;6.3121658;;;FR;Europe/Paris
;La Roche-sur-Yon;La Roche-sur-Yon;;;46.6705431;-1.4269698;;;FR;Europe/Paris
;La Souterraine;La Souterraine;;;46.2374832;1.4857176;;;FR;Europe/Paris
;La Tour-du-Pin;La Tour-du-Pin;;;45.5666202;5.4424054;;;FR;Europe/Paris
;Laferté-sur-Aube;Laferte-sur-Aube;;;48.0974797;4.7825937;;;FR;Europe/Paris
;Lamure-sur-Azergues;Lamure-sur-Azergues;;;46.0615827;4.4932835;;;FR;Europe/Paris
;Landerneau;Landerneau;;;48.4514803;-4.2557901;;;FR;Europe/Paris
;Langeac;Langeac;;;45.1001248;3.4941798;;;FR;Europe/Paris
;Langogne;Langogne;;;44.7266369;3.8550146;;;FR;Europe/Paris
;Langon;Langon;;;44.5530659;-0.2449274;;;FR;Europe/Paris
;Lannion;Lannion;;;48.7322183;-3.4587994;;;FR;Europe/Paris
;Laon;Laon;;;49.5646650;3.6206860;;;FR;Europe/Paris
;L'Arbresle;L'Arbresle;;;45.8362368;4.6165809;;;FR;Europe/Paris
;Laroche - Migennes;Laroche - Migennes;;;47.9610304;3.5130434;;;FR;Europe/Paris
;Latour-de-Carol - Enveitg;Latour-de-Carol - Enveitg;;;42.4590511;1.9044727;;;FR;Europe/Paris
;Lausanne;Lausanne;;;47.0433932;1.1821018;;;FR;Europe/Paris
;Lauterbourg;Lauterbourg;;;48.9751103;8.1767166;;;FR;Europe/Paris
;Laval;Laval;;;48.0706687;-0.7734022;;;FR;Europe/Paris
;Laval-de-Cère;Laval-de-Cere;;;44.9526333;1.9339670;;;FR;Europe/Paris
;Laveline-devant-Bruyères Maison pour Tous;Laveline-devant-Bruyeres Maison pour Tous;;;48.1849546;6.7518282;;;FR;Europe/Paris
;Le Buisson;Le Buisson;;;48.7612610;4.7507809;;;FR;Europe/Paris
;Le Croisic;Le Croisic;;;47.2933971;-2.5094404;;;FR;Europe/Paris
