id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;hub_id;country;time_zone
213;Agos;agos;8762007;87620070;43.033333;-0.066667;;;FR;Europe/Paris
214;Argenton-sur-Creuse;argenton-sur-creuse;;;46.583333;1.516667;;;FR;Europe/Paris
215;Argenton-sur-Creuse;argenton-sur-creuse;8759712;87597120;46.592248;1.518305;214;;FR;Europe/Paris
216;Argenton-sur-Creuse Gare Routière;argenton-sur-creuse-gare-routiere;8720156;87201566;46.587009;1.503158;214;;FR;Europe/Paris
217;Roye;roye;8731350;87313502;49.698050;2.789723;17478;;FR;Europe/Paris
218;Agay;agay;8775755;87757559;43.431370;6.856500;;;FR;Europe/Paris
220;Versailles;versailles;;;48.7526;2.5735;;;FR;Europe/Paris
223;Versailles-Chantiers;versailles-chantiers;8739300;87393009;48.795826;2.135883;220;;FR;Europe/Paris
224;Villeneuve-au-Chemin;villeneuve-au-chemin;8711036;87110361;48.082895;3.844281;;;FR;Europe/Paris
230;Salvagnac;salvagnac;8711015;87110155;43.916667;1.700000;;;FR;Europe/Paris
232;Maussac;maussac;8715241;87152413;45.483333;2.150000;;;FR;Europe/Paris
233;Aix-en-Provence TGV;aix-en-provence-tgv;8731901;87319012;43.455237;5.317534;23614;;FR;Europe/Paris
234;Moustéru;mousteru;8747351;87473512;48.507451;-3.243505;;;FR;Europe/Paris
239;Aillevillers;aillevillers;8718562;87185629;47.913888;6.337299;;;FR;Europe/Paris
241;Ailly-sur-Noye;ailly-sur-noye;8731322;87313221;49.75448;2.36419;;;FR;Europe/Paris
246;Ailly-sur-Somme;ailly-sur-somme;8731309;87313098;49.92838;2.20059;;;FR;Europe/Paris
249;Aigues-Vives (Gard);aigues-vives-gard;8777512;87775122;43.733333;4.166667;;;FR;Europe/Paris
252;Aiserey;aiserey;8771363;87713636;47.170501;5.158245;;;FR;Europe/Paris
264;Vicq-sur-Breuilh;vicq-sur-breuilh;8711511;87115113;45.645578;1.384455;;;FR;Europe/Paris
265;St-Hilaire-Bonneval;st-hilaire-bonneval;8711512;87115121;45.716667;1.366667;;;FR;Europe/Paris
266;Boisseuil;boisseuil;8711513;87115139;45.766667;1.316667;;;FR;Europe/Paris
267;Azay-sur-Indre;azay-sur-indre;8711533;87115337;47.200000;0.950000;;;FR;Europe/Paris
